slug,dish,file,source_title
butter_chicken,Butter Chicken,butter_chicken.jpg,Butter Chicken
sushi,Sushi,sushi.jpg,Sushi Rice
ramen,Ramen,ramen.jpg,Salad Ramen
matcha,Matcha,matcha.jpg,Matcha Latte
margherita_pizza,Margherita Pizza,margherita_pizza.jpg,Pizza Margherita
tiramisu,Tiramisu,tiramisu.jpg,Tiramisu
espresso,Espresso,espresso.jpg,Espresso Granita
tacos_al_pastor,Tacos al Pastor,tacos_al_pastor.jpg,Tacos al Pastor
guacamole,Guacamole,guacamole.jpg,Goddess Guacamole
churros,Churros,churros.jpg,Mini Churros
horchata,Horchata,horchata.jpg,Almond Horchata
pad_thai,Pad Thai,pad_thai.jpg,Pad Thai
green_curry,Green Curry,green_curry.jpg,Green Curry Paste
thai_iced_tea,Thai Iced Tea,thai_iced_tea.jpg,Thai-Style Iced Tea
coq_au_vin,Coq au Vin,coq_au_vin.jpg,Coq au Vin
ratatouille,Ratatouille,ratatouille.jpg,Ratatouille
dumplings,Dumplings,dumplings.jpg,Pork Dumplings
apple_pie,Apple Pie,apple_pie.jpg,Apple Pie
lemonade,Lemonade,lemonade.jpg,Modern Lemonade
tagine,Tagine,tagine.jpg,Vegetarian Tagine
mint_tea,Mint Tea,mint_tea.jpg,Mint Tea
moussaka,Moussaka,moussaka.jpg,Croatian Moussaka
baklava,Baklava,baklava.jpg,Baklava
pho,Pho,pho.jpg,Pho
vietnamese_coffee,Vietnamese Coffee,vietnamese_coffee.jpg,Vietnamese Ice Coffee
borscht,Borscht,borscht.jpg,Borscht
beef_stroganoff,Beef Stroganoff,beef_stroganoff.jpg,Beef Stroganoff
blini,Blini,blini.jpg,Sweet Blini
bratwurst,Bratwurst,bratwurst.jpg,Beer Bratwurst
black_forest_cake,Black Forest Cake,black_forest_cake.jpg,Black Forest Cake
paella,Paella,paella.jpg,Quick Paella
gazpacho,Gazpacho,gazpacho.jpg,Gazpacho
fish_and_chips,Fish and Chips,fish_and_chips.jpg,Fish-and-Chips
shepherd_s_pie,Shepherd's Pie,shepherd_s_pie.jpg,Shepherd's Pie
scones,Scones,scones.jpg,Scones
roast_beef,Roast Beef,roast_beef.jpg,Slow Roast Beef
kimchi,Kimchi,kimchi.jpg,Kimchi Toast
bibimbap,Bibimbap,bibimbap.jpg,Bibimbap
bulgogi,Bulgogi,bulgogi.jpg,Beef Bulgogi
turkish_coffee,Turkish Coffee,turkish_coffee.jpg,Turkish Coffee Brownies
jollof_rice,Jollof Rice,jollof_rice.jpg,Jollof Rice
empanadas,Empanadas,empanadas.jpg,Shrimp Empanadas
dulce_de_leche,Dulce de Leche,dulce_de_leche.jpg,Coconut Dulce de Leche
ceviche,Ceviche,ceviche.jpg,Ceviche Verde
tahdig,Tahdig,tahdig.jpg,Potato Tahdig
hummus,Hummus,hummus.jpg,Hummus
tabbouleh,Tabbouleh,tabbouleh.jpg,Quinoa Tabbouleh
shawarma,Shawarma,shawarma.jpg,"Cauliflower ""Shawarma"""
swedish_meatballs,Swedish Meatballs,swedish_meatballs.jpg,Swedish Meatballs
nasi_lemak,Nasi Lemak,nasi_lemak.jpg,Nasi Lemak
falafel,Falafel,falafel.jpg,Falafel
bobotie,Bobotie,bobotie.jpg,Bobotie
biltong,Biltong,biltong.jpg,Biltong
arepas,Arepas,arepas.jpg,Arepas
