food,ghg_kg,category
Beef (beef herd),99.48,Meat
Dark Chocolate,46.65,Other
Lamb & Mutton,39.72,Meat
Beef (dairy herd),33.30,Meat
Coffee,28.53,Other
Prawns (farmed),26.87,Seafood
Cheese,23.88,Dairy
Fish (farmed),13.63,Seafood
Pig Meat,12.31,Meat
Poultry Meat,9.87,Meat
Eggs,4.67,Other
Rice,4.45,Grain
Cane Sugar,3.20,Other
Milk,3.15,Dairy
Tofu,3.16,Plant
Tomatoes,2.09,Plant
Maize (Corn),1.70,Grain
Wheat & Rye,1.57,Grain
Lentils,1.00,Plant
Peas,0.98,Plant
Bananas,0.86,Plant
Potatoes,0.46,Plant
Apples,0.43,Plant
Nuts,0.43,Plant
