iso3,life_expectancy,population,annual_tourists,unesco_heritage_count
IND,70,1417000000,17000000,42
JPN,84,125700000,32000000,25
ITA,83,58900000,65000000,59
MEX,75,127500000,45000000,35
THA,79,71700000,40000000,7
FRA,82,64600000,90000000,52
CHN,78,1412000000,65000000,57
USA,79,333000000,79000000,25
ETH,65,123000000,1000000,9
MAR,74,37000000,13000000,9
BRA,76,215000000,6000000,23
GRC,82,10400000,33000000,18
VNM,75,98000000,18000000,8
DEU,81,83800000,39000000,52
ESP,83,47500000,84000000,50
GBR,81,67000000,40000000,35
