iso3,festival,month,foods
IND,Diwali,10,sweets|samosa|laddu
IND,Holi,3,gujiya|thandai
IND,Onam,8,sadhya|banana chips
DEU,Oktoberfest,9,beer|pretzel|sausage
MEX,Day of the Dead,11,pan de muerto|tamales
USA,Thanksgiving,11,turkey|pumpkin pie
CHN,Mid-Autumn Festival,9,mooncake|tea
CHN,Lunar New Year,2,dumplings|fish
JPN,Obon,8,mochi|somen
ITA,Ferragosto,8,pasta|gelato
FRA,Bastille Day,7,baguette|wine
THA,Songkran,4,khao chae|mango sticky rice
BRA,Carnival,2,feijoada|brigadeiro
ESP,La Tomatina,8,tomato|paella
GBR,Christmas,12,roast turkey|mince pie
USA,Independence Day,7,barbecue|apple pie
ETH,Meskel,9,doro wat|injera
MAR,Eid al-Fitr,4,couscous|sweets
RUS,Maslenitsa,3,blini|pancakes
KOR,Chuseok,9,songpyeon|rice cakes
ESP,La Tomatina,8,tomato|paella
TUR,Ramadan Bayram,4,baklava|turkish delight
NGA,New Yam Festival,8,yam|jollof rice
PER,Inti Raymi,6,corn|ceviche
IDN,Nyepi,3,rice|satay
IRN,Nowruz,3,sabzi polo|sweets
POL,Wigilia,12,pierogi|carp
SWE,Midsummer,6,herring|strawberries
PHL,Sinulog,1,lechon|lumpia
MEX,Cinco de Mayo,5,tacos|mole
