ingredient,seq,location_name,lat,lon,time_period
Tomato,1,Andes (Peru),-13.16,-72.54,Pre-1500
Tomato,2,Mexico,19.43,-99.13,1200s
Tomato,3,Spain,40.42,-3.70,1540s
Tomato,4,Italy,41.90,12.50,1600s
Tomato,5,India,28.61,77.21,1700s
Tomato,6,Global,0.0,0.0,1900s
Chili Pepper,1,Bolivia,-16.5,-68.15,Pre-1500
Chili Pepper,2,Mexico,19.43,-99.13,1400s
Chili Pepper,3,Portugal,38.72,-9.13,1500s
Chili Pepper,4,India,28.61,77.21,1500s
Chili Pepper,5,Thailand,13.75,100.50,1600s
Chili Pepper,6,China (Sichuan),30.57,104.06,1600s
Potato,1,Andes (Peru),-13.16,-72.54,Pre-1500
Potato,2,Spain,40.42,-3.70,1570s
Potato,3,Ireland,53.35,-6.26,1600s
Potato,4,Global,0.0,0.0,1800s
Coffee,1,Ethiopia,9.15,40.49,800s
Coffee,2,Yemen,15.55,48.52,1400s
Coffee,3,Turkey,41.01,28.98,1500s
Coffee,4,Italy,41.90,12.50,1600s
Coffee,5,Brazil,-15.79,-47.88,1720s
Potato,5,India,28.61,77.21,1600s
Sugar,1,New Guinea,-5.70,144.30,Ancient
Sugar,2,India,28.61,77.21,500 BCE
Sugar,3,Persia,32.43,53.68,600s
Sugar,4,Egypt,30.04,31.24,1000s
Sugar,5,Caribbean,18.00,-77.00,1500s
Maize,1,Mexico,19.43,-99.13,Pre-1500
Maize,2,Spain,40.42,-3.70,1500s
Maize,3,West Africa,9.08,8.68,1500s
Maize,4,Italy,41.90,12.50,1600s
Maize,5,China,34.27,108.93,1600s
Banana,1,Malaysia,3.14,101.69,Antiquity
Banana,2,India,13.08,80.27,500 BCE
Banana,3,East Africa,-6.79,39.21,600s
Banana,4,Caribbean,18.00,-77.00,1500s
Banana,5,Central America,9.93,-84.08,1800s
Rice,1,Yangtze (China),30.59,114.30,Ancient
Rice,2,India,26.85,80.95,2000 BCE
Rice,3,Persia,32.43,53.68,1000 BCE
Rice,4,Spain,37.38,-5.99,700s
Rice,5,Americas,32.78,-79.93,1600s
Vanilla,1,Mexico,18.85,-97.10,Pre-1500
Vanilla,2,Spain,40.42,-3.70,1520s
Vanilla,3,Madagascar,-18.88,47.51,1800s
