iso3,food_group,pct
IND,Cereals,40
IND,Vegetables,18
IND,Pulses,12
IND,Dairy,14
IND,Fruits,6
IND,Meat,4
IND,Sugar,4
IND,Oils,2
JPN,Cereals,33
JPN,Seafood,20
JPN,Vegetables,18
JPN,Meat,10
JPN,Fruits,6
JPN,Dairy,5
JPN,Pulses,5
JPN,Sugar,3
ITA,Cereals,32
ITA,Vegetables,20
ITA,Dairy,12
ITA,Meat,12
ITA,Fruits,10
ITA,Seafood,6
ITA,Oils,5
ITA,Sugar,3
MEX,Cereals,38
MEX,Vegetables,16
MEX,Meat,12
MEX,Pulses,12
MEX,Fruits,8
MEX,Dairy,7
MEX,Sugar,5
MEX,Oils,2
THA,Cereals,40
THA,Vegetables,16
THA,Seafood,14
THA,Meat,10
THA,Fruits,10
THA,Sugar,5
THA,Dairy,3
THA,Oils,2
FRA,Cereals,28
FRA,Dairy,16
FRA,Meat,16
FRA,Vegetables,16
FRA,Fruits,10
FRA,Seafood,6
FRA,Oils,5
FRA,Sugar,3
CHN,Cereals,40
CHN,Vegetables,22
CHN,Meat,14
CHN,Seafood,8
CHN,Fruits,8
CHN,Pulses,4
CHN,Sugar,2
CHN,Dairy,2
USA,Cereals,24
USA,Meat,20
USA,Dairy,16
USA,Vegetables,14
USA,Fruits,10
USA,Sugar,8
USA,Oils,5
USA,Seafood,3
ETH,Cereals,50
ETH,Pulses,16
ETH,Vegetables,14
ETH,Dairy,8
ETH,Meat,6
ETH,Fruits,4
ETH,Oils,2
MAR,Cereals,42
MAR,Vegetables,18
MAR,Fruits,12
MAR,Meat,10
MAR,Dairy,8
MAR,Pulses,6
MAR,Sugar,2
MAR,Oils,2
BRA,Cereals,32
BRA,Meat,18
BRA,Fruits,14
BRA,Vegetables,12
BRA,Pulses,10
BRA,Dairy,8
BRA,Sugar,4
BRA,Oils,2
GRC,Cereals,30
GRC,Vegetables,20
GRC,Dairy,14
GRC,Fruits,12
GRC,Seafood,8
GRC,Meat,8
GRC,Oils,5
GRC,Sugar,3
VNM,Cereals,44
VNM,Vegetables,18
VNM,Seafood,14
VNM,Meat,10
VNM,Fruits,8
VNM,Sugar,3
VNM,Dairy,3
DEU,Cereals,28
DEU,Meat,20
DEU,Dairy,16
DEU,Vegetables,14
DEU,Fruits,10
DEU,Sugar,7
DEU,Oils,5
ESP,Cereals,28
ESP,Vegetables,18
ESP,Seafood,14
ESP,Meat,14
ESP,Fruits,12
ESP,Dairy,8
ESP,Oils,4
ESP,Sugar,2
GBR,Cereals,30
GBR,Meat,18
GBR,Dairy,16
GBR,Vegetables,14
GBR,Fruits,10
GBR,Sugar,7
GBR,Seafood,5
